Quote,Author

"No matter how many weapons you have, no matter how great your technology might be, the world cannot live without love.","Sheeta, 'Castle in the Sky' (1986)"
"The Earth speaks to all of us, and if we listen, we can understand","Uncle Pomme, 'Castle In The Sky' (1986)"

"Everybody, try laughing. Then whatever scares you will go away!","Tatsuo Kusakabe, 'My Neighbor Totoro' (1988)"
"Well, ghosts are a lot harder to see. But when you suddenly move from a lighted room to a dark one, you can’t see for a second, and that’s when the dust bunnies come out.","My Neighbour Totoro (1998)"
"Trees and people used to be good friends.","Tatsuo Kusakabe, 'My Neighbour Totoro' (1998)"

"It’s not really important what color your dress is. What matters is the heart inside.","Kiki’s Delivery Service (1989)"
"Just follow your heart and keep smiling","Kiki’s Delivery Service (1989)"
"We each need to find our own inspiration. Sometimes it's not easy.","Ursula, 'Kiki's Delivery Service' (1989)"

"The rough stone is inside of you. You have to find it…and then polish it.","Whisper of the Heart (1995)"

"Life is suffering. It is hard. The world is cursed. But still, you find reasons to keep on living.","Leonardo Santamaria, 'Princess Mononoke' (1997)"

"Once you’ve met someone you never really forget them. It just takes a while for your memories to return.","Zeniba, 'Spirited Away' (2001)"
"Nothing that happens is ever forgotten, even if you can't remember it","Zeniba, 'Spirited Away' (2001)"

"Whenever someone creates something with all of their heart, then that creation is given a soul","The Cat Returns (2002)"
"Always believe in yourself. Do this and no matter where you are, you will have nothing to fear.","The Baron, 'The Cat Returns' (2002)"

"One thing you can always count on is that hearts change.","Howl’s Moving Castle (2004)"
"They say the best blaze burns brightest, when circumstances are at their worst.","Sophie Hatter, 'Howl's Moving Castle' (2004)"

"When I saw you, I just wanted to find a way to protect you.","Shawn, 'The Secret World Of Arrietty' (2010)"
"My heart is stronger now that you're in it.","Shawn, 'The Secret World Of Arrietty' (2010)"
"Sometimes you have to fight for the things that are worth fighting for.","The Secret World of Arrietty (2010)"
"It’s funny how you wake up each day and never really know if it’ll be one that will change your life forever.","Shawn, 'The Secret World Of Arrietty' (2010)"

"Fair girl, why do you send your thoughts to the sky? The wind carries them aloft to mingle with the crows. Trimmed with blue, your flags fly again today.","Up on a Poppy Hill (2011)"
"There’s no future for people who worship the future and forget the past.","Shun Kazama, 'Up On Poppy Hill' (2011)"
"It seems the whole country is eager to get rid of the old and make way for the new. But some of us aren’t so ready to let go of the past.","Umi, 'Up On Poppy Hill (2011)"

"Inspiration unlocks the future.","The Wind Rises (2013)"
"Airplanes are beautiful, cursed dreams, waiting for the sky to swallow them up.","The Wind Rises (2013)"
"Who has seen the wind? Neither I nor you: But when the leaves hang trembling, The wind is passing through.","The Wind Rises (2013)"
